City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,Mazamari,-11.3258,-74.5308,72.61,83,99,1.68,PE,2022-08-01 05:43:57
281,Ust-Karsk,52.7011,118.8077,83.08,38,81,9.37,RU,2022-08-01 05:43:57
282,Otane,-39.8833,176.6333,51.01,85,4,2.01,NZ,2022-08-01 05:43:58
283,Provideniya,64.3833,-173.3,48.36,76,0,2.24,RU,2022-08-01 05:43:07
284,Queanbeyan,-35.35,149.2333,52.45,57,55,17.27,AU,2022-08-01 05:43:58
285,Singaraja,-8.112,115.0882,84.18,64,93,3.49,ID,2022-08-01 05:43:58
286,Smithers,54.7804,-127.1743,71.92,53,75,11.5,CA,2022-08-01 05:39:05
287,Marrakesh,31.6315,-8.0083,84.27,39,40,3.44,MA,2022-08-01 05:43:08
288,Kostomuksha,64.571,30.5767,53.51,91,100,2.71,RU,2022-08-01 05:43:59
289,Baciu,46.8,23.5167,60.19,94,100,10.36,RO,2022-08-01 05:43:59
290,Cidreira,-30.1811,-50.2056,56.75,92,5,5.59,BR,2022-08-01 05:40:41
291,Broken Hill,-31.95,141.4333,59.83,31,0,5.93,AU,2022-08-01 05:44:00
